subjectId,community,year,sitting,originalExercises,PASSED,REVIEW_REQUIRED,BLOCKED
"matematicas-ii","Madrid","2016","Sin determinar","7","0","0","7"
"matematicas-ii","Madrid","2017","Junio/ordinaria","17","0","0","17"
"matematicas-ii","Madrid","2017","Septiembre","15","0","0","15"
"matematicas-ii","Madrid","2017","Sin determinar","7","0","0","7"
"matematicas-ii","Madrid","2018","Junio/ordinaria","19","0","0","19"
"matematicas-ii","Madrid","2018","Sin determinar","10","0","0","10"
"matematicas-ii","Madrid","2019","Junio/ordinaria","16","0","0","16"
"matematicas-ii","Madrid","2019","Sin determinar","15","0","0","15"
"matematicas-ii","Madrid","2020","Julio","15","0","0","15"
"matematicas-ii","Madrid","2020","Junio/ordinaria","1","0","0","1"
"matematicas-ii","Madrid","2020","Septiembre","8","0","0","8"
"matematicas-ii","Madrid","2020","Sin determinar","7","0","0","7"
"matematicas-ii","Madrid","2021","Julio","7","0","0","7"
"matematicas-ii","Madrid","2021","Junio/ordinaria","15","0","0","15"
"matematicas-ii","Madrid","2021","Sin determinar","8","0","0","8"
"matematicas-ii","Madrid","2022","Extraordinaria","13","0","0","13"
"matematicas-ii","Madrid","2022","Junio/ordinaria","19","0","0","19"
"matematicas-ii","Madrid","2022","Sin determinar","8","0","0","8"
"matematicas-ii","Madrid","2023","Extraordinaria","15","0","0","15"
"matematicas-ii","Madrid","2023","Junio/ordinaria","16","0","0","16"
"matematicas-ii","Madrid","2023","Sin determinar","8","0","0","8"
"matematicas-ii","Madrid","2024","Extraordinaria","15","0","0","15"
"matematicas-ii","Madrid","2024","Junio/ordinaria","16","0","0","16"
"matematicas-ii","Madrid","2024","Sin determinar","8","0","0","8"
"matematicas-ii","Madrid","2025","Extraordinaria","7","0","0","7"
"matematicas-ii","Madrid","2025","Junio/ordinaria","14","0","0","14"
"matematicas-ii","Madrid","2025","Sin determinar","7","0","0","7"
"matematicas-ii","Madrid","2026","Extraordinaria","8","0","0","8"
"matematicas-ii","Madrid","2026","Junio/ordinaria","7","0","0","7"
"matematicas-ii","Madrid","2026","Sin determinar","4","0","0","4"
"matematicas-ii","Madrid","Sin determinar","Extraordinaria","1","0","0","1"
"matematicas-ii","Madrid","Sin determinar","Julio","1","0","0","1"
"matematicas-ii","Madrid","Sin determinar","Septiembre","1","0","0","1"
"matematicas-ii","Madrid","Sin determinar","Sin determinar","1","0","0","1"
"matematicas-ii","Sin determinar","2004","Junio/ordinaria","4","0","0","4"
"matematicas-ii","Sin determinar","2004","Septiembre","2","0","0","2"
"matematicas-ii","Sin determinar","2005","Junio/ordinaria","5","0","0","5"
"matematicas-ii","Sin determinar","2005","Septiembre","5","0","0","5"
"matematicas-ii","Sin determinar","2006","Junio/ordinaria","5","0","0","5"
"matematicas-ii","Sin determinar","2006","Septiembre","5","0","0","5"
"matematicas-ii","Sin determinar","2007","Junio/ordinaria","5","0","0","5"
"matematicas-ii","Sin determinar","2007","Septiembre","5","0","0","5"
"matematicas-ii","Sin determinar","2008","Junio/ordinaria","5","0","0","5"
"matematicas-ii","Sin determinar","2008","Septiembre","5","0","0","5"
"matematicas-ii","Sin determinar","2009","Junio/ordinaria","5","0","0","5"
"matematicas-ii","Sin determinar","2009","Septiembre","5","0","0","5"
"matematicas-ii","Sin determinar","2010","Junio/ordinaria","2","0","0","2"
"matematicas-ii","Sin determinar","2010","Septiembre","2","0","0","2"
"matematicas-ii","Sin determinar","2010","Sin determinar","4","0","0","4"
"matematicas-ii","Sin determinar","2011","Junio/ordinaria","1","0","0","1"
"matematicas-ii","Sin determinar","2011","Septiembre","2","0","0","2"
"matematicas-ii","Sin determinar","2011","Sin determinar","4","0","0","4"
"matematicas-ii","Sin determinar","2014","Junio/ordinaria","1","0","0","1"
"matematicas-ii","Sin determinar","2022","Julio","1","0","0","1"
"matematicas-ii","Sin determinar","2022","Junio/ordinaria","1","0","0","1"
"matematicas-ii","Sin determinar","2023","Julio","2","0","0","2"
"matematicas-ii","Sin determinar","2023","Junio/ordinaria","2","0","0","2"
"matematicas-ii","Sin determinar","2024","Julio","8","0","0","8"
"matematicas-ii","Sin determinar","2024","Junio/ordinaria","11","0","0","11"
"matematicas-ii","Sin determinar","2025","Julio","1","0","0","1"
"matematicas-ii","Sin determinar","2026","Julio","1","0","0","1"
"matematicas-ii","Sin determinar","2026","Junio/ordinaria","5","0","0","5"
"matematicas-ii","Sin determinar","Sin determinar","Junio/ordinaria","1","0","0","1"
