key,occurrences,candidateIds,sourceRecordIds,status
"template:1eso:cuerpos-geometricos:template-1pjz59k","2","[""cand-03bd7876-cdf6-5cbe-b28e-676ff369b79a"",""cand-c51c6962-12b0-5a12-87c1-e48a8afbc7af""]","[""src-41897dd4-b20b-5bf2-9bc9-808deecf452d"",""src-15c9f63e-c2ce-551f-af74-0abc6e9d6404""]","MATHEMATICAL_REVIEW_REQUIRED"
"template:1eso:cuerpos-geometricos:template-1ros7rq","4","[""cand-312bc011-72a3-54e9-a83d-c4dd575e8d54"",""cand-4830e958-58bf-571e-90a8-abc5d0bd7edf"",""cand-8cadaf8b-7322-5c12-8121-0b8e4af8513a"",""cand-c59cd755-4da1-58af-99f6-7008cf13e7f5""]","[""src-2c6632c0-b228-5834-bf9c-bc2e621d7c06"",""src-325500b7-f300-569c-bacb-800553348514"",""src-80100e3b-303e-570d-848d-4f10edd63465"",""src-6809ddc2-ad0a-5979-947e-88b5a34988fc""]","MATHEMATICAL_REVIEW_REQUIRED"
"template:1eso:cuerpos-geometricos:template-82h24a","3","[""cand-0ffc36e9-880a-5553-9e4a-fe5798c7f992"",""cand-79bc0141-5ab7-5b4a-9a0a-a16036583c60"",""cand-fefacebd-b966-560b-8fed-a9b8c2592223""]","[""src-989f7e23-3fdd-579d-bf3c-b20db186b36a"",""src-f6b4d9a3-452b-54cc-8c0e-a65e9e78724e"",""src-ab163e3e-80d6-54f5-b9fc-2d3cf1ae3ab3""]","MATHEMATICAL_REVIEW_REQUIRED"
"template:1eso:cuerpos-geometricos:template-an0qxj","4","[""cand-30af5b30-5a0c-508d-bdcb-4839ad7d4015"",""cand-33db102c-71f6-5689-a719-9bf2df754d28"",""cand-95234697-9beb-5bef-af1f-ca434e230929"",""cand-a7781620-fb78-5524-840f-031f426b2ff8""]","[""src-1dd46803-44a8-51dd-8c83-6be3546a179c"",""src-ca1318e2-2001-5fd3-a428-e1c23318c3bc"",""src-57b292fd-0cd5-50f5-afa5-e3c9084d5f56"",""src-ded3b17e-e58c-5846-a925-7de7444f41a8""]","MATHEMATICAL_REVIEW_REQUIRED"
"template:1eso:cuerpos-geometricos:template-gbx0z0","3","[""cand-58611b7c-c606-5764-8cbb-dbdc925e33bd"",""cand-6f31f69e-c403-5755-afd6-84e759e33ecd"",""cand-c5145b88-a0f4-5626-b840-018a75fd31d5""]","[""src-8dfc46a8-51cd-5b8f-b9e8-3fee0b6ceda5"",""src-8862de12-32d0-5e67-a991-ab219f88db86"",""src-fdfb0163-fad7-53e0-8bce-1bbdb2ce621b""]","MATHEMATICAL_REVIEW_REQUIRED"
"template:1eso:expresiones-algebraicas:template-17qf43q","2","[""cand-379e65e6-87c0-5a2b-abc2-461b2e267a9c"",""cand-f6d8591e-3106-5bce-8631-712f548874f1""]","[""src-6d6bebb9-4984-5aee-a98e-49418ace56e6"",""src-ba2f8409-99f4-5436-8f5d-27d0604fb356""]","MATHEMATICAL_REVIEW_REQUIRED"
"template:1eso:expresiones-algebraicas:template-3b9irl","2","[""cand-09aacffe-6c6d-5c3a-a225-1f1e4f5ee0c2"",""cand-e451f189-d463-52a0-8ceb-32d97fafd41d""]","[""src-b3bd60fb-a6c0-5f84-af15-ad97ddb9a35b"",""src-c103cbba-8c1c-537f-b4a9-c89e5a7126ff""]","MATHEMATICAL_REVIEW_REQUIRED"
"template:1eso:expresiones-algebraicas:template-ht2t0u","2","[""cand-01265571-4e96-5337-a995-8d9decfdf3c0"",""cand-5263c34f-031c-5350-92fb-f1c04318fe01""]","[""src-10844e86-5976-5952-ac6c-848d440d3ec6"",""src-e330bb2a-5381-5112-ab09-2efea3720cd8""]","MATHEMATICAL_REVIEW_REQUIRED"
"template:1eso:fracciones-decimales:template-1aruw37","3","[""cand-15d26b71-a192-5a41-be2b-c109fdb85720"",""cand-45b46799-0bba-5d33-b84b-77c2ce1dc668"",""cand-a17edab5-f58a-5dc2-820d-3426b666ed07""]","[""src-323fc5a7-9e16-5746-9de5-d36e82afc0e5"",""src-0d52d4c2-a03a-5a62-9a9c-2491b2a4426b"",""src-de595bf7-9732-523e-a721-0a2b94ffb172""]","MATHEMATICAL_REVIEW_REQUIRED"
"template:1eso:fracciones-decimales:template-1clk0es","2","[""cand-b12ec601-ba59-544e-a472-f541c2b19e7a"",""cand-d7454a81-baad-592e-990c-115b4b52b893""]","[""src-9238bde4-b4d2-5e60-ac10-98bc3e5b6944"",""src-aa442b6b-6099-5f45-9c52-41e2ec1a708d""]","MATHEMATICAL_REVIEW_REQUIRED"
