"key","total","SEGMENTATION_OK","EXAM_INSTRUCTION_ATTACHED","DUPLICATED_HEADER","MULTIPLE_EXERCISES_MERGED","EXERCISE_INCORRECTLY_SPLIT","SUBPART_STRUCTURE_ERROR","SOURCE_TEXT_CORRUPTION","MATH_NOTATION_CORRUPTION","DOCUMENT_REVIEW_REQUIRED"
"CCSS II|Madrid|2013|","10","10","0","0","0","0","0","0","0","10"
"CCSS II|Madrid|2013|Junio/ordinaria","25","25","0","0","0","0","0","0","0","25"
"CCSS II|Madrid|2013|Septiembre","14","14","0","0","0","0","0","0","0","14"
"CCSS II|Madrid|2014|","10","10","0","0","0","0","0","0","0","10"
"CCSS II|Madrid|2014|Junio/ordinaria","20","20","0","0","0","0","0","0","0","20"
"CCSS II|Madrid|2014|Septiembre","21","21","0","0","0","0","0","0","0","21"
"CCSS II|Madrid|2015|","10","10","0","0","0","0","0","0","0","10"
"CCSS II|Madrid|2015|Junio/ordinaria","20","20","0","0","0","0","0","0","0","20"
"CCSS II|Madrid|2015|Septiembre","18","18","0","0","0","0","0","0","0","18"
"CCSS II|Madrid|2016|","10","10","0","0","0","0","0","0","0","10"
"CCSS II|Madrid|2016|Junio/ordinaria","19","19","0","0","0","0","0","0","0","19"
"CCSS II|Madrid|2016|Septiembre","10","10","0","0","0","0","0","0","0","10"
"CCSS II|Madrid|2017|Junio/ordinaria","18","18","0","0","0","0","0","0","0","18"
"CCSS II|Madrid|2017|Septiembre","20","20","0","0","0","0","0","0","0","20"
"CCSS II|Madrid|2018|","21","21","0","0","0","0","0","0","0","21"
"CCSS II|Madrid|2018|Junio/ordinaria","20","20","0","0","0","0","0","0","0","20"
"CCSS II|Madrid|2019|","30","30","0","0","0","0","0","0","0","30"
"CCSS II|Madrid|2019|Junio/ordinaria","20","20","0","0","0","0","0","0","0","20"
"CCSS II|Madrid|2020|","10","10","0","0","0","0","0","0","0","10"
"CCSS II|Madrid|2020|Julio","18","18","0","0","0","0","0","0","0","18"
"CCSS II|Madrid|2020|Septiembre","11","11","0","0","0","0","0","0","0","11"
"CCSS II|Madrid|2021|","11","11","0","0","0","0","0","0","0","11"
"CCSS II|Madrid|2021|Julio","11","11","0","0","0","0","0","0","0","11"
"CCSS II|Madrid|2021|Junio/ordinaria","20","20","0","0","0","0","0","0","0","20"
"CCSS II|Madrid|2022|","9","9","0","0","0","0","0","0","0","9"
"CCSS II|Madrid|2022|Extraordinaria","20","20","0","0","0","0","0","0","0","20"
"CCSS II|Madrid|2022|Junio/ordinaria","17","17","0","0","0","0","0","0","0","17"
"CCSS II|Madrid|2023|","9","9","0","0","0","0","0","0","0","9"
"CCSS II|Madrid|2023|Extraordinaria","21","21","0","0","0","0","0","0","0","21"
"CCSS II|Madrid|2023|Junio/ordinaria","19","19","0","0","0","0","0","0","0","19"
"CCSS II|Madrid|2024|","10","10","0","0","0","0","0","0","0","10"
"CCSS II|Madrid|2024|Extraordinaria","20","20","0","0","0","0","0","0","0","20"
"CCSS II|Madrid|2024|Junio/ordinaria","20","20","0","0","0","0","0","0","0","20"
"CCSS II|Madrid|2025|","3","3","0","0","0","0","0","0","0","3"
"CCSS II|Madrid|2025|Extraordinaria","7","7","0","0","0","0","0","0","0","7"
"CCSS II|Madrid|2025|Junio/ordinaria","6","6","0","0","0","0","0","0","0","6"
"CCSS II|Madrid|2026|","2","2","0","0","0","0","0","0","0","2"
"CCSS II|Madrid|2026|Extraordinaria","5","5","0","0","0","0","0","0","0","5"
"CCSS II|Madrid|2026|Junio/ordinaria","7","7","0","0","0","0","0","0","0","7"
"CCSS II|No verificable||","175","174","1","0","0","0","0","0","0","175"
"CCSS II|No verificable|2008|","6","6","0","0","0","0","0","0","0","6"
"CCSS II|No verificable|2008|Junio/ordinaria","3","3","0","0","0","0","0","0","0","3"
"CCSS II|No verificable|2008|Septiembre","3","3","0","0","0","0","0","0","0","3"
"CCSS II|No verificable|2009|","6","6","0","0","0","0","0","0","0","6"
"CCSS II|No verificable|2009|Junio/ordinaria","3","3","0","0","0","0","0","0","0","3"
"CCSS II|No verificable|2009|Septiembre","3","3","0","0","0","0","0","0","0","3"
"CCSS II|No verificable|2010|","2","0","0","2","0","0","0","0","0","2"
"CCSS II|No verificable|2010|Junio/ordinaria","1","0","0","1","0","0","0","0","0","1"
"CCSS II|No verificable|2010|Septiembre","1","0","0","1","0","0","0","0","0","1"
"CCSS II|No verificable|2020|Septiembre","1","0","0","1","0","0","0","0","0","1"
"Matemáticas II|Castilla-La Mancha||","1","1","0","0","0","0","0","0","1","1"
"Matemáticas II|Castilla-La Mancha||Julio","1","1","0","0","0","0","0","0","1","1"
"Matemáticas II|Castilla-La Mancha||Junio/ordinaria","5","3","0","0","0","0","2","0","2","5"
"Matemáticas II|Castilla-La Mancha||Septiembre","1","1","0","0","0","0","0","0","1","1"
"Matemáticas II|Castilla-La Mancha|2000|","14","6","0","3","0","0","8","0","6","14"
"Matemáticas II|Castilla-La Mancha|2000|Junio/ordinaria","14","7","0","2","0","0","7","0","7","14"
"Matemáticas II|Castilla-La Mancha|2000|Septiembre","15","7","0","0","0","0","8","0","7","15"
"Matemáticas II|Castilla-La Mancha|2001|","30","14","0","3","0","0","16","0","14","30"
"Matemáticas II|Castilla-La Mancha|2001|Junio/ordinaria","14","6","0","0","0","0","8","0","6","14"
"Matemáticas II|Castilla-La Mancha|2001|Septiembre","15","7","0","2","0","0","8","0","6","15"
"Matemáticas II|Castilla-La Mancha|2002|","30","14","0","2","0","0","16","0","12","30"
"Matemáticas II|Castilla-La Mancha|2002|Junio/ordinaria","16","8","0","2","0","0","8","0","7","16"
"Matemáticas II|Castilla-La Mancha|2002|Septiembre","14","6","0","1","0","0","8","0","5","14"
"Matemáticas II|Castilla-La Mancha|2003|","31","15","0","0","0","0","16","0","15","31"
"Matemáticas II|Castilla-La Mancha|2003|Junio/ordinaria","16","8","0","2","0","0","8","0","8","16"
"Matemáticas II|Castilla-La Mancha|2003|Septiembre","16","8","0","1","0","0","8","0","7","16"
"Matemáticas II|Castilla-La Mancha|2004|","29","13","0","3","0","0","16","0","11","29"
"Matemáticas II|Castilla-La Mancha|2004|Junio/ordinaria","10","7","0","0","0","0","3","0","5","10"
"Matemáticas II|Castilla-La Mancha|2004|Septiembre","9","6","0","1","0","0","3","0","5","9"
"Matemáticas II|Castilla-La Mancha|2005|Junio/ordinaria","9","6","0","1","0","0","3","0","5","9"
"Matemáticas II|Castilla-La Mancha|2005|Septiembre","11","8","0","1","0","0","3","0","7","11"
"Matemáticas II|Castilla-La Mancha|2006|Junio/ordinaria","9","6","0","0","0","0","3","0","5","9"
"Matemáticas II|Castilla-La Mancha|2006|Septiembre","9","6","0","0","0","0","3","0","6","9"
"Matemáticas II|Castilla-La Mancha|2007|","30","14","0","4","0","0","16","0","10","30"
"Matemáticas II|Castilla-La Mancha|2007|Junio/ordinaria","11","8","0","0","0","0","3","0","6","11"
"Matemáticas II|Castilla-La Mancha|2007|Septiembre","10","7","0","1","0","0","3","0","6","10"
"Matemáticas II|Castilla-La Mancha|2008|","28","12","0","3","0","0","16","0","12","28"
"Matemáticas II|Castilla-La Mancha|2008|Junio/ordinaria","11","8","0","0","0","0","3","0","7","11"
"Matemáticas II|Castilla-La Mancha|2008|Septiembre","10","7","0","0","0","0","3","0","7","10"
"Matemáticas II|Castilla-La Mancha|2009|","29","13","0","3","0","0","16","0","13","29"
"Matemáticas II|Castilla-La Mancha|2009|Junio/ordinaria","10","7","0","0","0","0","3","0","7","10"
"Matemáticas II|Castilla-La Mancha|2009|Septiembre","10","7","0","2","0","0","3","0","5","10"
"Matemáticas II|Castilla-La Mancha|2010|","27","15","0","0","0","0","12","0","15","27"
"Matemáticas II|Castilla-La Mancha|2010|Junio/ordinaria","13","7","0","1","0","0","6","0","7","13"
"Matemáticas II|Castilla-La Mancha|2010|Septiembre","14","8","0","1","0","0","6","0","7","14"
"Matemáticas II|Castilla-La Mancha|2011|","28","16","0","3","0","0","12","0","10","28"
"Matemáticas II|Castilla-La Mancha|2011|Junio/ordinaria","11","6","0","0","0","0","5","0","4","11"
"Matemáticas II|Castilla-La Mancha|2011|Septiembre","12","6","0","2","0","0","6","0","6","12"
"Matemáticas II|Castilla-La Mancha|2012|","23","11","0","3","0","0","12","0","8","23"
"Matemáticas II|Castilla-La Mancha|2012|Junio/ordinaria","12","6","0","0","0","0","6","0","6","12"
"Matemáticas II|Castilla-La Mancha|2012|Septiembre","12","6","0","1","0","0","6","0","5","12"
"Matemáticas II|Castilla-La Mancha|2013|","20","12","0","1","0","0","8","0","7","20"
"Matemáticas II|Castilla-La Mancha|2013|Junio/ordinaria","10","6","0","0","0","0","4","0","4","10"
"Matemáticas II|Castilla-La Mancha|2013|Septiembre","10","6","0","0","0","0","4","0","4","10"
"Matemáticas II|Castilla-La Mancha|2014|Junio/ordinaria","8","4","0","1","0","0","4","0","3","8"
"Matemáticas II|Castilla-La Mancha|2014|Septiembre","8","4","0","1","0","0","4","0","4","8"
"Matemáticas II|Castilla-La Mancha|2015|Junio/ordinaria","12","6","0","1","0","0","6","0","5","12"
"Matemáticas II|Castilla-La Mancha|2015|Septiembre","11","5","0","2","0","0","6","0","5","11"
"Matemáticas II|Castilla-La Mancha|2016|Junio/ordinaria","12","6","0","1","0","0","6","0","5","12"
"Matemáticas II|Castilla-La Mancha|2016|Septiembre","12","6","0","2","0","0","6","0","5","12"
"Matemáticas II|Castilla-La Mancha|2017|Junio/ordinaria","16","8","0","2","0","0","8","0","5","16"
"Matemáticas II|Castilla-La Mancha|2017|Septiembre","16","8","0","2","0","0","8","0","6","16"
"Matemáticas II|Castilla-La Mancha|2018|Julio","16","8","0","2","0","0","8","0","6","16"
"Matemáticas II|Castilla-La Mancha|2018|Junio/ordinaria","16","8","0","2","0","0","8","0","6","16"
"Matemáticas II|Castilla-La Mancha|2019|Julio","15","7","0","0","0","0","8","0","4","15"
"Matemáticas II|Castilla-La Mancha|2019|Junio/ordinaria","15","7","0","0","0","0","8","0","7","15"
"Matemáticas II|Castilla-La Mancha|2020|Julio","16","8","0","1","0","0","8","0","7","16"
"Matemáticas II|Castilla-La Mancha|2020|Junio/ordinaria","16","8","0","1","0","0","8","0","6","16"
"Matemáticas II|Castilla-La Mancha|2021|Julio","13","6","0","6","0","0","7","0","5","13"
"Matemáticas II|Castilla-La Mancha|2021|Junio/ordinaria","14","7","0","6","0","0","7","0","4","14"
"Matemáticas II|Castilla-La Mancha|2022|Julio","20","8","0","9","0","0","12","0","6","20"
"Matemáticas II|Castilla-La Mancha|2022|Junio/ordinaria","22","10","0","9","0","0","12","0","9","22"
"Matemáticas II|Castilla-La Mancha|2023|Julio","19","7","0","8","0","0","12","0","5","19"
"Matemáticas II|Castilla-La Mancha|2023|Junio/ordinaria","21","9","0","8","0","0","12","0","8","21"
"Matemáticas II|Castilla-La Mancha|2024|Julio","17","5","0","7","0","0","12","0","4","17"
"Matemáticas II|Castilla-La Mancha|2024|Junio/ordinaria","17","5","0","7","0","0","12","0","3","17"
"Matemáticas II|Castilla-La Mancha|2025|Julio","5","1","1","4","1","0","4","0","0","5"
"Matemáticas II|Castilla-La Mancha|2025|Junio/ordinaria","7","3","0","4","0","0","4","0","0","7"
"Matemáticas II|Castilla-La Mancha|2026|Julio","8","1","4","5","4","0","5","0","3","8"
"Matemáticas II|Castilla-La Mancha|2026|Junio/ordinaria","9","1","6","5","4","0","5","0","3","9"
"Matemáticas II|Madrid||","1","1","0","0","0","0","0","0","0","1"
"Matemáticas II|Madrid||Extraordinaria","1","1","0","0","0","0","0","0","0","1"
"Matemáticas II|Madrid||Julio","1","1","0","0","0","0","0","0","0","1"
"Matemáticas II|Madrid||Septiembre","1","1","0","0","0","0","0","0","0","1"
"Matemáticas II|Madrid|2000|","9","9","0","0","0","0","0","0","0","9"
"Matemáticas II|Madrid|2000|Junio/ordinaria","7","7","0","0","0","0","0","0","0","7"
"Matemáticas II|Madrid|2000|Septiembre","8","8","0","0","0","0","0","0","0","8"
"Matemáticas II|Madrid|2001|","7","7","0","0","0","0","0","0","1","7"
"Matemáticas II|Madrid|2001|Junio/ordinaria","7","7","0","0","0","0","0","0","1","7"
"Matemáticas II|Madrid|2001|Septiembre","10","10","0","0","0","0","0","0","2","10"
"Matemáticas II|Madrid|2002|","11","11","0","0","0","0","0","0","2","11"
"Matemáticas II|Madrid|2002|Junio/ordinaria","4","4","0","0","0","0","0","0","0","4"
"Matemáticas II|Madrid|2002|Septiembre","9","9","0","0","0","0","0","0","0","9"
"Matemáticas II|Madrid|2003|","10","10","0","0","0","0","0","0","0","10"
"Matemáticas II|Madrid|2003|Junio/ordinaria","5","5","0","0","0","0","0","0","0","5"
"Matemáticas II|Madrid|2003|Septiembre","8","8","0","0","0","0","0","0","0","8"
"Matemáticas II|Madrid|2004|","8","8","0","0","0","0","0","0","0","8"
"Matemáticas II|Madrid|2004|Junio/ordinaria","7","7","0","0","0","0","0","0","0","7"
"Matemáticas II|Madrid|2004|Septiembre","9","9","0","0","0","0","0","0","0","9"
"Matemáticas II|Madrid|2005|","8","8","0","0","0","0","0","0","0","8"
"Matemáticas II|Madrid|2005|Junio/ordinaria","7","7","0","0","0","0","0","0","0","7"
"Matemáticas II|Madrid|2005|Septiembre","8","8","0","0","0","0","0","0","0","8"
"Matemáticas II|Madrid|2006|","11","11","0","0","0","0","0","0","0","11"
"Matemáticas II|Madrid|2006|Junio/ordinaria","4","4","0","0","0","0","0","0","0","4"
"Matemáticas II|Madrid|2006|Septiembre","8","8","0","0","0","0","0","0","0","8"
"Matemáticas II|Madrid|2007|","7","7","0","0","0","0","0","0","0","7"
"Matemáticas II|Madrid|2007|Junio/ordinaria","8","8","0","0","0","0","0","0","0","8"
"Matemáticas II|Madrid|2007|Septiembre","8","8","0","0","0","0","0","0","0","8"
"Matemáticas II|Madrid|2008|","7","7","0","0","0","0","0","0","0","7"
"Matemáticas II|Madrid|2008|Junio/ordinaria","7","7","0","0","0","0","0","0","0","7"
"Matemáticas II|Madrid|2008|Septiembre","6","6","0","0","0","0","0","0","0","6"
"Matemáticas II|Madrid|2009|","10","10","0","0","0","0","0","0","0","10"
"Matemáticas II|Madrid|2009|Junio/ordinaria","11","11","0","0","0","0","0","0","0","11"
"Matemáticas II|Madrid|2009|Septiembre","12","12","0","0","0","0","0","0","0","12"
"Matemáticas II|Madrid|2010|","8","8","0","0","0","0","0","0","0","8"
"Matemáticas II|Madrid|2010|Junio/ordinaria","17","17","0","0","0","0","0","0","0","17"
"Matemáticas II|Madrid|2010|Septiembre","12","12","0","0","0","0","0","0","0","12"
"Matemáticas II|Madrid|2011|","11","11","0","0","0","0","0","0","0","11"
"Matemáticas II|Madrid|2011|Junio/ordinaria","4","4","0","0","0","0","0","0","0","4"
"Matemáticas II|Madrid|2011|Septiembre","6","6","0","0","0","0","0","0","0","6"
"Matemáticas II|Madrid|2012|","8","8","0","0","0","0","0","0","0","8"
"Matemáticas II|Madrid|2012|Junio/ordinaria","11","11","0","0","0","0","0","0","0","11"
"Matemáticas II|Madrid|2012|Septiembre","10","10","0","0","0","0","0","0","0","10"
"Matemáticas II|Madrid|2013|","8","8","0","0","0","0","0","0","0","8"
"Matemáticas II|Madrid|2013|Junio/ordinaria","19","19","0","0","0","0","0","0","0","19"
"Matemáticas II|Madrid|2013|Septiembre","12","12","0","0","0","0","0","0","0","12"
"Matemáticas II|Madrid|2014|","7","7","0","0","0","0","0","0","0","7"
"Matemáticas II|Madrid|2014|Junio/ordinaria","14","14","0","0","0","0","0","0","0","14"
"Matemáticas II|Madrid|2014|Septiembre","9","9","0","0","0","0","0","0","0","9"
"Matemáticas II|Madrid|2015|","7","7","0","0","0","0","0","0","0","7"
"Matemáticas II|Madrid|2015|Junio/ordinaria","16","16","0","0","0","0","0","0","0","16"
"Matemáticas II|Madrid|2015|Septiembre","16","16","0","0","0","0","0","0","0","16"
"Matemáticas II|Madrid|2016|","7","7","0","0","0","0","0","0","2","7"
"Matemáticas II|Madrid|2016|Junio/ordinaria","16","16","0","0","0","0","0","0","4","16"
"Matemáticas II|Madrid|2016|Septiembre","7","7","0","0","0","0","0","0","1","7"
"Matemáticas II|Madrid|2017|","7","7","0","0","0","0","0","0","1","7"
"Matemáticas II|Madrid|2017|Junio/ordinaria","17","17","0","0","0","0","0","0","6","17"
"Matemáticas II|Madrid|2017|Septiembre","15","15","0","0","0","0","0","0","3","15"
"Matemáticas II|Madrid|2018|","10","10","0","0","0","0","0","0","1","10"
"Matemáticas II|Madrid|2018|Junio/ordinaria","19","19","0","0","0","0","0","0","4","19"
"Matemáticas II|Madrid|2019|","15","15","0","0","0","0","0","0","4","15"
"Matemáticas II|Madrid|2019|Junio/ordinaria","16","16","0","0","0","0","0","0","2","16"
"Matemáticas II|Madrid|2020|","7","7","0","0","0","0","0","0","1","7"
"Matemáticas II|Madrid|2020|Julio","15","15","0","0","0","0","0","0","3","15"
"Matemáticas II|Madrid|2020|Junio/ordinaria","1","1","0","0","0","0","0","0","0","1"
"Matemáticas II|Madrid|2020|Septiembre","8","8","0","0","0","0","0","0","2","8"
"Matemáticas II|Madrid|2021|","8","8","0","0","0","0","0","0","0","8"
"Matemáticas II|Madrid|2021|Julio","7","7","0","0","0","0","0","0","0","7"
"Matemáticas II|Madrid|2021|Junio/ordinaria","15","15","0","0","0","0","0","0","0","15"
"Matemáticas II|Madrid|2022|","8","8","0","0","0","0","0","0","0","8"
"Matemáticas II|Madrid|2022|Extraordinaria","13","13","0","0","0","0","0","0","0","13"
"Matemáticas II|Madrid|2022|Junio/ordinaria","19","18","1","0","0","0","0","0","0","19"
"Matemáticas II|Madrid|2023|","8","8","0","0","0","0","0","0","0","8"
"Matemáticas II|Madrid|2023|Extraordinaria","15","15","0","0","0","0","0","0","0","15"
"Matemáticas II|Madrid|2023|Junio/ordinaria","16","16","0","0","0","0","0","0","0","16"
"Matemáticas II|Madrid|2024|","8","8","0","0","0","0","0","0","0","8"
"Matemáticas II|Madrid|2024|Extraordinaria","15","15","0","0","0","0","0","0","0","15"
"Matemáticas II|Madrid|2024|Junio/ordinaria","16","16","0","0","0","0","0","0","0","16"
"Matemáticas II|Madrid|2025|","7","7","0","0","0","0","0","0","0","7"
"Matemáticas II|Madrid|2025|Extraordinaria","7","7","0","0","0","0","0","0","0","7"
"Matemáticas II|Madrid|2025|Junio/ordinaria","14","14","0","0","0","0","0","0","0","14"
"Matemáticas II|Madrid|2026|","4","4","0","0","0","0","0","0","0","4"
"Matemáticas II|Madrid|2026|Extraordinaria","8","8","0","0","0","0","0","0","0","8"
"Matemáticas II|Madrid|2026|Junio/ordinaria","7","7","0","0","0","0","0","0","0","7"
"Matemáticas II|No verificable||","90","90","0","0","0","0","0","0","0","90"
"Matemáticas II|No verificable||Junio/ordinaria","1","1","0","0","0","0","0","0","0","1"
"Matemáticas II|No verificable|2004|Junio/ordinaria","4","3","0","1","0","0","0","0","0","4"
"Matemáticas II|No verificable|2004|Septiembre","2","2","0","0","0","0","0","0","0","2"
"Matemáticas II|No verificable|2005|Junio/ordinaria","5","3","0","2","0","0","0","0","0","5"
"Matemáticas II|No verificable|2005|Septiembre","5","5","0","0","0","0","0","0","0","5"
"Matemáticas II|No verificable|2006|Junio/ordinaria","5","4","0","1","0","0","0","0","0","5"
"Matemáticas II|No verificable|2006|Septiembre","5","4","0","1","0","0","0","0","0","5"
"Matemáticas II|No verificable|2007|Junio/ordinaria","5","5","0","0","0","0","0","0","0","5"
"Matemáticas II|No verificable|2007|Septiembre","5","4","0","1","0","0","0","0","0","5"
